_type,_id,_revision,code_unit,unitname,id
datasets/gov/aaa/oro_stociu_matavimai/Units,30b66260-1510-456e-9d8b-50179126b543,82e380e2-6c05-45c6-951a-f52b2e3b8135,17,mm,17
datasets/gov/aaa/oro_stociu_matavimai/Units,7bd372b3-8736-45af-a86f-9221dc25affa,1b4751a1-3e55-4b55-9dca-f1c9e7ef19ec,15,K,15
datasets/gov/aaa/oro_stociu_matavimai/Units,28f650e6-08d2-4311-98fe-55cc2aba9ff0,91b02fca-8142-4297-93c2-9fbd8a32811e,01,ppb,1
datasets/gov/aaa/oro_stociu_matavimai/Units,0fc540c4-cae8-4557-a091-6e310dd8d095,980f1f2b-3a35-4c9d-bc72-f7adf67c8522,04,m/s,4
datasets/gov/aaa/oro_stociu_matavimai/Units,2b1b3b00-a4d3-4ea4-9dff-92374f6fc07b,67d0abbd-7b93-4fae-8a8f-e3a86a11b18d,10,kod,10
datasets/gov/aaa/oro_stociu_matavimai/Units,c03ac7a9-eba4-4958-ae11-53b49c8faa85,6f529050-a423-4fe9-8a6d-8217c5262524,12,mcal,12
datasets/gov/aaa/oro_stociu_matavimai/Units,8fd74243-e9d1-430d-9ad5-5bccd2288be3,b219bea5-79e9-428e-af5c-d19d5803126a,25,m3,25
datasets/gov/aaa/oro_stociu_matavimai/Units,866e2570-2343-40fa-b0e7-999c75f9a46e,3f364649-273d-49bb-8ac0-8196aa715e86,08,%,8
datasets/gov/aaa/oro_stociu_matavimai/Units,97bed18a-fcaa-4ecd-97a6-0b04d2801e29,41dd1da9-9291-4e9a-8c5b-f01bf22c8740,19,nSv/h,19
datasets/gov/aaa/oro_stociu_matavimai/Units,8b8b188a-4344-4c05-8fe9-39b73e8d5915,a58bf42a-faa6-4756-be05-6288619b233e,20,°C,20
datasets/gov/aaa/oro_stociu_matavimai/Units,ad7bbb03-2728-4082-bc3f-7e33a634ef87,0ba40aa7-688c-4c7d-92fd-774ad8c40c55,16,ppmV,16
datasets/gov/aaa/oro_stociu_matavimai/Units,93b8a619-9e3b-4204-8957-4dee6a075d4a,6fd06f2e-7d24-4a01-a050-fde3c9b46cd6,07,^C,7
datasets/gov/aaa/oro_stociu_matavimai/Units,4bd4d15f-5986-4c7d-a51d-bb358ae6ecca,39ec1595-52aa-4910-b785-ff4150787c63,18,uSv/h,18
datasets/gov/aaa/oro_stociu_matavimai/Units,4797ee11-9fda-4178-930f-13ad3ae435a6,ab0332ec-2052-4506-aaab-05bc11bdf731,09,W/m2,9
datasets/gov/aaa/oro_stociu_matavimai/Units,bb00bdc2-70d3-4b20-a584-1586c8c1d267,988e170e-6233-425e-9951-fb4a25c7274e,23,V,23
datasets/gov/aaa/oro_stociu_matavimai/Units,f24213b6-172a-47b8-960c-be177c547eee,106f491d-f8b8-4135-b75f-749710254cda,24,bar,24
datasets/gov/aaa/oro_stociu_matavimai/Units,89a0ce55-265d-4266-91ea-5eb0ed25b77b,d2313f2d-35e7-4dd7-b146-4c31829e4f96,03,ug/m3,3
datasets/gov/aaa/oro_stociu_matavimai/Units,b1faae42-1664-42e8-92bf-934a2a618866,fe411ab4-5908-41cb-ae35-0dc7bf116d93,11,100m,11
datasets/gov/aaa/oro_stociu_matavimai/Units,48518a60-6e96-4b6f-93b8-bcaeff67685a,c422b791-2f6d-4a82-a312-56100e9ab917,02,ppm,2
datasets/gov/aaa/oro_stociu_matavimai/Units,85e37543-6901-475a-83e1-0647bbd4b2bc,9fac931b-e7ac-476b-be8b-a073244deda4,05,deg,5
datasets/gov/aaa/oro_stociu_matavimai/Units,919d6e8c-e62a-406a-a189-6a525ebd346b,3c2e17cc-fb37-415d-9b79-acbf64481ee9,14,mV,14
datasets/gov/aaa/oro_stociu_matavimai/Units,ce869cdc-5213-4728-96ef-a3a78b62a18b,81cb8266-0979-4963-9637-b4b5ef4dd419,22,ng/m3,22
datasets/gov/aaa/oro_stociu_matavimai/Units,14aca3e8-a5ba-4886-b14a-3d12065916e8,3c975705-b186-4307-8188-1bfeb3c22f18,13,10deg,13
datasets/gov/aaa/oro_stociu_matavimai/Units,67461e7c-506e-430a-8962-cd25ebed54da,74e2a11c-e183-43ed-8a44-e4eacfedd7b3,06,hPa,6
datasets/gov/aaa/oro_stociu_matavimai/Units,8da58da5-dedc-4c8d-b799-3714f527c322,983a6d03-ab8d-4a25-8bfa-af5444180a4b,21,C,21
datasets/gov/aaa/oro_stociu_matavimai/Units,a049fcfc-680b-4779-bc2a-08a4d4e1e7be,f594af1b-32c7-4667-95d0-785aab9aebac,26,P/cm3,26
